x,y
184.9248046875,426.525390625
184.92660522460938,422.858642578125
184.9284210205078,419.19189453125
184.93023681640625,415.525146484375
184.9320526123047,411.8583984375
184.93386840820312,408.191650390625
184.93568420410156,404.52490234375
184.93748474121094,400.858154296875
184.93930053710938,397.19140625
184.9411163330078,393.524658203125
184.94293212890625,389.857666015625
184.9447479248047,386.19091796875
184.94656372070312,382.524169921875
184.9483642578125,378.857421875
184.95018005371094,375.190673828125
184.95199584960938,371.52392578125
184.9538116455078,367.857177734375
184.95562744140625,364.1904296875
184.9574432373047,360.523681640625
184.95925903320312,356.85693359375
184.9610595703125,353.190185546875
184.96287536621094,349.5234375
184.96469116210938,345.856689453125
184.9665069580078,342.18994140625
184.96832275390625,338.52294921875
184.9701385498047,334.856201171875
184.97193908691406,331.189453125
184.9737548828125,327.522705078125
184.97557067871094,323.85595703125
184.97738647460938,320.189208984375
184.9792022705078,316.5224609375
184.98101806640625,312.855712890625
184.9828338623047,309.18896484375
184.98463439941406,305.522216796875
184.9864501953125,301.85546875
184.98826599121094,298.188720703125
184.99008178710938,294.52197265625
184.9918975830078,290.85498046875
184.99371337890625,287.188232421875
184.99551391601562,283.521484375
184.99732971191406,279.854736328125
184.9991455078125,276.18798828125
185.00096130371094,272.521240234375
185.00277709960938,268.8545227050781
185.0045928955078,265.1877746582031
185.00640869140625,261.5210266113281
185.00820922851562,257.8542785644531
185.01002502441406,254.18753051757812
185.0118408203125,250.52078247070312
185.01365661621094,246.85403442382812
185.01547241210938,243.18728637695312
185.0172882080078,239.52029418945312
185.0190887451172,235.85354614257812
185.02090454101562,232.18679809570312
185.02272033691406,228.52005004882812
185.0245361328125,224.85330200195312
185.02635192871094,221.18655395507812
185.02816772460938,217.51980590820312
185.02996826171875,213.85305786132812
185.0317840576172,210.18630981445312
185.03359985351562,206.51956176757812
185.03541564941406,202.85281372070312
185.0372314453125,199.18606567382812
185.03904724121094,195.51931762695312
185.04086303710938,191.85232543945312
